EventNumber,TriggerBits,Timestamp
109650,11101000,1989-09-29 13:56:39
109651,1000111,1989-09-29 13:56:39
109652,1000111,1989-09-29 13:56:42
109653,1000111,1989-09-29 13:56:42
109654,1000111,1989-09-29 13:56:42
109655,11101000,1989-09-29 13:56:43
109656,1000111,1989-09-29 13:56:44
109657,11101000,1989-09-29 13:56:48
109658,1000111,1989-09-29 13:56:49
109659,1000111,1989-09-29 13:56:50
109660,11101000,1989-09-29 13:56:51
109661,11101000,1989-09-29 13:56:51
109662,1000111,1989-09-29 13:56:51
109663,1000111,1989-09-29 13:56:52
109664,1000111,1989-09-29 13:56:52
109665,11101000,1989-09-29 13:56:53
109666,11101000,1989-09-29 13:56:53
109667,1000111,1989-09-29 13:56:53
109668,1000111,1989-09-29 13:56:54
109669,11101000,1989-09-29 13:56:54
109670,1000111,1989-09-29 13:56:54
109671,1000111,1989-09-29 13:56:55
109672,1000111,1989-09-29 13:56:55
109673,11101000,1989-09-29 13:56:55
109674,1000111,1989-09-29 13:56:56
109675,1000111,1989-09-29 13:56:57
109676,11101000,1989-09-29 13:56:58
109677,1000111,1989-09-29 13:56:59
109678,11101000,1989-09-29 13:56:59
109679,1000111,1989-09-29 13:57:00
109680,1000111,1989-09-29 13:57:00
109681,11101000,1989-09-29 13:57:01
109682,1000111,1989-09-29 13:57:01
109683,11101000,1989-09-29 13:57:02
109684,1000111,1989-09-29 13:57:03
109685,1000111,1989-09-29 13:57:03
109686,11101000,1989-09-29 13:57:04
109687,11101000,1989-09-29 13:57:04
109688,1000111,1989-09-29 13:57:05
109689,11101000,1989-09-29 13:57:05
109690,1000111,1989-09-29 13:57:05
109691,1000111,1989-09-29 13:57:06
109692,1000111,1989-09-29 13:57:06
109693,11101000,1989-09-29 13:57:07
109694,1000111,1989-09-29 13:57:08
109695,1000111,1989-09-29 13:57:08
109696,1000111,1989-09-29 13:57:09
109697,1000111,1989-09-29 13:57:10
109698,1000111,1989-09-29 13:57:11
109699,11101000,1989-09-29 13:57:12
109700,11101000,1989-09-29 13:57:12
109701,1000111,1989-09-29 13:57:13
109702,1000111,1989-09-29 13:57:14
109703,1000111,1989-09-29 13:57:14
109704,1000111,1989-09-29 13:57:14
109705,1000111,1989-09-29 13:57:14
109706,1000111,1989-09-29 13:57:14
109707,1000111,1989-09-29 13:57:15
109708,11101000,1989-09-29 13:57:15
109709,1000111,1989-09-29 13:57:15
109710,11101000,1989-09-29 13:57:16
109711,1000111,1989-09-29 13:57:16
109712,1000111,1989-09-29 13:57:17
109713,11101000,1989-09-29 13:57:17
109714,11101000,1989-09-29 13:57:18
109715,1000111,1989-09-29 13:57:18
109716,11101000,1989-09-29 13:57:18
109717,1000111,1989-09-29 13:57:20
109718,1000111,1989-09-29 13:57:20
109719,1000111,1989-09-29 13:57:21
109720,11101000,1989-09-29 13:57:22
109721,11101000,1989-09-29 13:57:22
109722,1000111,1989-09-29 13:57:23
109723,11101000,1989-09-29 13:57:24
109724,11101000,1989-09-29 13:57:25
109725,1000111,1989-09-29 13:57:25
109726,1000111,1989-09-29 13:57:25
109727,1000111,1989-09-29 13:57:27
109728,1000111,1989-09-29 13:57:27
109729,11101000,1989-09-29 13:57:27
109730,1000111,1989-09-29 13:57:28
109731,1000111,1989-09-29 13:57:29
109732,1000111,1989-09-29 13:57:29
109733,1000111,1989-09-29 13:57:30
109734,1000111,1989-09-29 13:57:30
109735,1000111,1989-09-29 13:57:30
109736,1000111,1989-09-29 13:57:31
109737,11101000,1989-09-29 13:57:31
109738,1000111,1989-09-29 13:57:34
109739,11101000,1989-09-29 13:57:34
109740,1000111,1989-09-29 13:57:34
109741,1000111,1989-09-29 13:57:36
109742,11101000,1989-09-29 13:57:36
109743,1000111,1989-09-29 13:57:37
109744,11101000,1989-09-29 13:57:37
109745,1000111,1989-09-29 13:57:37
109746,1000111,1989-09-29 13:57:38
109747,1000111,1989-09-29 13:57:38
109748,1000111,1989-09-29 13:57:38
109749,11101000,1989-09-29 13:57:39
109750,11101000,1989-09-29 13:57:39
109751,11101000,1989-09-29 13:57:39
109752,1000111,1989-09-29 13:57:41
109753,1000111,1989-09-29 13:57:42
109754,11101000,1989-09-29 13:57:42
109755,1000111,1989-09-29 13:57:43
109756,1000111,1989-09-29 13:57:44
109757,11101000,1989-09-29 13:57:45
109758,11101000,1989-09-29 13:57:45
